dataset,n,cols,k,clusters,mpi_procs,t_load,t_degree,t_laplacian,t_eigen,t_kmeans,t_total,quality
data/test_batch/test2.txt,43,4,3,3,1,0.000564,0.000021,0.000016,0.000735,0.000049,0.001387,2.263725
data/test_batch/test2.txt,43,4,3,3,2,0.000353,0.000036,0.000130,0.000705,0.004892,0.006804,2.263725
data/test_batch/test2.txt,43,4,3,3,4,0.000580,0.000091,0.000192,0.000687,0.004187,0.006418,2.263725
data/test_batch/test2.txt,43,4,3,3,8,0.000879,0.000112,0.000214,0.002435,0.004053,0.007957,9.292366
data/test_batch/test2.txt,43,4,3,3,16,0.000626,0.000117,0.000265,0.000713,0.004876,0.006836,1.640450
data/test_batch/test3.txt,15,6,3,3,1,0.000174,0.000011,0.000002,0.000168,0.000024,0.000381,3.678436
data/test_batch/test3.txt,15,6,3,3,2,0.000283,0.000073,0.000072,0.000203,0.003605,0.004424,1.931088
data/test_batch/test3.txt,15,6,3,3,4,0.000236,0.000057,0.000098,0.000190,0.004544,0.005328,4.871277
data/test_batch/test3.txt,15,6,3,3,16,0.000493,0.000075,0.000093,0.000213,0.005050,0.006149,4.050350
data/test_batch/test3.txt,15,6,3,3,8,0.000187,0.000053,0.000103,0.000190,0.004542,0.005295,6.765124
data/test_batch/test4.txt,14,4,3,3,1,0.000147,0.000011,0.000001,0.000177,0.000032,0.000370,0.209284
data/test_batch/test4.txt,14,4,3,3,2,0.000248,0.000052,0.000077,0.000185,0.004118,0.004862,0.564194
data/test_batch/test4.txt,14,4,3,3,4,0.000186,0.000082,0.000081,0.000215,0.004607,0.005430,1.587141
data/test_batch/test4.txt,14,4,3,3,8,0.000244,0.000077,0.000092,0.000183,0.004015,0.004817,1.815558
data/test_batch/test4.txt,14,4,3,3,16,0.000221,0.000079,0.000071,0.000195,0.006157,0.007012,1.496185
data/test_batch/test1.txt,10,5,3,3,1,0.000203,0.000013,0.000001,0.000180,0.000021,0.000419,1.778655
data/test_batch/test1.txt,10,5,3,3,4,0.000192,0.000088,0.000102,0.000167,0.004995,0.005800,0.554159
data/test_batch/test1.txt,10,5,3,3,2,0.000294,0.000035,0.000028,0.000181,0.004043,0.004813,1.211073
data/test_batch/test1.txt,10,5,3,3,16,0.000186,0.000178,0.000029,0.000220,0.000787,0.001460,1.472489
data/test_batch/test1.txt,10,5,3,3,8,0.000271,0.000057,0.000054,0.000171,0.003039,0.003824,0.123671
data/test_batch/test5.txt,23,3,3,3,1,0.000235,0.000026,0.000001,0.000246,0.000028,0.000537,0.719588
data/test_batch/test5.txt,23,3,3,3,2,0.000183,0.000038,0.000021,0.000287,0.000287,0.000833,0.749377
data/test_batch/test5.txt,23,3,3,3,4,0.000194,0.000085,0.000124,0.000307,0.004966,0.005924,1.124960
data/test_batch/test5.txt,23,3,3,3,16,0.000203,0.000100,0.000051,0.000284,0.000948,0.001647,0.580902
data/test_batch/test5.txt,23,3,3,3,8,0.000276,0.000062,0.000141,0.000277,0.004384,0.005408,0.656162
