dataset,n,cols,k,clusters,mpi_procs,sigma,t_load,t_degree,t_laplacian,t_eigen,t_kmeans,t_total,quality
data/input/matrix_n1000.txt,1000,-1,3,3,8,-1.0000,0.255031,0.000270,0.011631,0.379992,0.000336,0.648002,0.997450
data/input/matrix_n1500.txt,1500,-1,3,3,8,-1.0000,0.569968,0.000594,0.024417,1.117749,0.000371,1.714147,0.999929
data/input/matrix_n1000.txt,1000,-1,3,3,8,-1.0000,0.256659,0.000273,0.011255,0.376934,0.000314,0.645784,0.997450
data/input/matrix_n1000.txt,1000,-1,3,3,8,-1.0000,0.257833,0.000313,0.011238,0.371927,0.000333,0.641986,0.997450
data/input/matrix_n1500.txt,1500,-1,3,3,8,-1.0000,0.569963,0.000576,0.024168,1.116656,0.000382,1.712033,0.999929
data/input/matrix_n1700.txt,1700,-1,3,3,8,-1.0000,0.737041,0.000686,0.031058,1.546002,0.000459,2.316380,1.000524
data/input/matrix_n1500.txt,1500,-1,3,3,8,-1.0000,0.584862,0.000551,0.024191,1.113267,0.000380,1.723626,0.999929
data/input/matrix_n1700.txt,1700,-1,3,3,8,-1.0000,0.731008,0.000681,0.030012,1.539280,0.000463,2.301746,1.000524
data/input/matrix_n1700.txt,1700,-1,3,3,8,-1.0000,0.730287,0.000707,0.030631,1.539932,0.000396,2.302338,1.000524
data/input/matrix_n2000.txt,2000,-1,3,3,8,-1.0000,1.008831,0.000911,0.042703,2.391534,0.000414,3.445742,0.999932
data/input/matrix_n2000.txt,2000,-1,3,3,8,-1.0000,1.010131,0.000894,0.042236,2.380891,0.000478,3.435104,0.999932
data/input/matrix_n2000.txt,2000,-1,3,3,8,-1.0000,1.007645,0.000909,0.042272,2.367406,0.000468,3.419284,0.999932
data/input/matrix_n4000.txt,4000,-1,3,3,8,-1.0000,4.033127,0.003402,0.169491,19.752468,0.000671,23.959943,1.000101
data/input/matrix_n4000.txt,4000,-1,3,3,8,-1.0000,4.019475,0.003414,0.164966,19.703438,0.000662,23.892928,1.000101
data/input/matrix_n4000.txt,4000,-1,3,3,8,-1.0000,4.023806,0.003340,0.165495,19.470627,0.000673,23.665369,1.000101
data/input/matrix_n5000.txt,5000,-1,3,3,8,-1.0000,6.274161,0.005249,0.263162,38.220644,0.000768,44.767794,1.000243
data/input/matrix_n5000.txt,5000,-1,3,3,8,-1.0000,6.273632,0.005198,0.256590,38.127413,0.000794,44.665102,1.000243
data/input/matrix_n500.txt,500,-1,3,3,8,-1.0000,0.067302,0.000074,0.003118,0.068799,0.000287,0.139894,0.995069
data/input/matrix_n5000.txt,5000,-1,3,3,8,-1.0000,6.277038,0.005100,0.257151,37.949943,0.000764,44.492194,1.000243
data/input/matrix_n500.txt,500,-1,3,3,8,-1.0000,0.067294,0.000078,0.002915,0.068853,0.000293,0.139832,0.995069
data/input/matrix_n700.txt,700,-1,3,3,8,-1.0000,0.127349,0.000135,0.005865,0.160931,0.000294,0.294939,1.000108
data/input/matrix_n500.txt,500,-1,3,3,8,-1.0000,0.072321,0.000094,0.003254,0.068914,0.000278,0.145679,0.995069
data/input/matrix_n700.txt,700,-1,3,3,8,-1.0000,0.134699,0.000139,0.006102,0.161751,0.000300,0.303262,1.000108
data/input/matrix_n700.txt,700,-1,3,3,8,-1.0000,0.128214,0.000148,0.005722,0.161629,0.000312,0.296337,1.000108
data/input/matrix_n1000.txt,1000,-1,3,3,1,-1.0000,0.228421,0.001185,0.003116,1.810191,0.000637,2.043551,1.019539
data/input/matrix_n1000.txt,1000,-1,3,3,1,-1.0000,0.226237,0.001167,0.003094,1.812144,0.000639,2.043282,1.019539
data/input/matrix_n1000.txt,1000,-1,3,3,1,-1.0000,0.225876,0.001288,0.003120,1.814527,0.000644,2.045456,1.019539
data/input/matrix_n1500.txt,1500,-1,3,3,1,-1.0000,0.508550,0.002836,0.006563,5.889726,0.000961,6.408639,1.017009
data/input/matrix_n1500.txt,1500,-1,3,3,1,-1.0000,0.508875,0.002978,0.006615,5.902892,0.000961,6.422324,1.017009
data/input/matrix_n1500.txt,1500,-1,3,3,1,-1.0000,0.511959,0.002712,0.007034,5.883221,0.000964,6.405893,1.017009
data/input/matrix_n1700.txt,1700,-1,3,3,1,-1.0000,0.671154,0.003332,0.009014,8.487154,0.001085,9.171741,1.015116
data/input/matrix_n1700.txt,1700,-1,3,3,1,-1.0000,0.650244,0.003304,0.008972,8.487673,0.001093,9.151288,1.015116
data/input/matrix_n1700.txt,1700,-1,3,3,1,-1.0000,0.651889,0.003383,0.008416,8.501375,0.001087,9.166155,1.015116
data/input/matrix_n2000.txt,2000,-1,3,3,1,-1.0000,0.900392,0.004736,0.012537,13.684139,0.001354,14.603163,1.016806
data/input/matrix_n2000.txt,2000,-1,3,3,1,-1.0000,0.900666,0.004798,0.012511,13.671704,0.001278,14.590962,1.016806
data/input/matrix_n2000.txt,2000,-1,3,3,1,-1.0000,0.901537,0.004729,0.012650,13.702459,0.001277,14.622658,1.016806
data/input/matrix_n4000.txt,4000,-1,3,3,1,-1.0000,3.595497,0.023033,0.055318,117.725694,0.002546,121.402094,1.008506
data/input/matrix_n4000.txt,4000,-1,3,3,1,-1.0000,3.594270,0.023097,0.055125,118.159570,0.002550,121.834616,1.008506
data/input/matrix_n4000.txt,4000,-1,3,3,1,-1.0000,3.628714,0.022458,0.054314,117.776782,0.002633,121.484905,1.008506
data/input/matrix_n5000.txt,5000,-1,3,3,1,-1.0000,5.633990,0.032466,0.083243,237.493295,0.003262,243.246262,1.009514
data/input/matrix_n500.txt,500,-1,3,3,1,-1.0000,0.069665,0.000303,0.001219,0.251578,0.000322,0.323088,1.025287
data/input/matrix_n5000.txt,5000,-1,3,3,1,-1.0000,5.612768,0.034174,0.086698,243.999860,0.003174,249.736681,1.009514
data/input/matrix_n700.txt,700,-1,3,3,1,-1.0000,0.110865,0.000575,0.001745,0.656226,0.000451,0.769862,1.024534
data/input/matrix_n5000.txt,5000,-1,3,3,1,-1.0000,5.626594,0.035592,0.087409,244.035117,0.003170,249.787888,1.009514
