dataset,n,cols,k,clusters,mpi_procs,sigma,t_load,t_degree,t_laplacian,t_eigen,t_kmeans,t_total,quality
data/input/matrix_n1000.txt,1000,-1,3,3,32,-1.0000,0.266732,0.000372,0.027555,2.149103,0.013472,2.502098,0.997178
data/input/matrix_n1500.txt,1500,-1,3,3,32,-1.0000,0.594368,0.000529,0.062353,6.936509,0.011621,7.673391,1.003071
data/input/matrix_n1700.txt,1700,-1,3,3,32,-1.0000,0.786512,0.000489,0.073485,10.110236,0.012795,11.070462,0.997664
data/input/matrix_n2000.txt,2000,-1,3,3,32,-1.0000,1.080140,0.000565,0.102244,16.344550,0.011769,17.650123,0.999063
data/input/matrix_n1000.txt,1000,-1,3,3,32,-1.0000,0.265877,0.000415,0.029336,2.147801,0.012590,2.484151,0.997178
data/input/matrix_n1000.txt,1000,-1,3,3,32,-1.0000,0.265625,0.000428,0.025991,2.153681,0.011512,2.492523,0.997178
data/input/matrix_n1500.txt,1500,-1,3,3,32,-1.0000,0.592717,0.000469,0.058165,6.927695,0.012190,7.665084,1.003071
data/input/matrix_n1500.txt,1500,-1,3,3,32,-1.0000,0.598740,0.000538,0.060604,6.937598,0.011863,7.669080,1.003071
data/input/matrix_n4000.txt,4000,-1,3,3,32,-1.0000,4.213422,0.001259,0.415206,145.196277,0.011934,150.192226,1.000685
data/input/matrix_n1700.txt,1700,-1,3,3,32,-1.0000,0.763550,0.000551,0.079852,10.109074,0.012563,11.036197,0.997664
data/input/matrix_n1700.txt,1700,-1,3,3,32,-1.0000,0.757530,0.000512,0.074269,10.152868,0.011748,11.079949,0.997664
data/input/matrix_n2000.txt,2000,-1,3,3,32,-1.0000,1.053089,0.000524,0.104706,16.285380,0.012591,17.559233,0.999063
data/input/matrix_n2000.txt,2000,-1,3,3,32,-1.0000,1.051729,0.000534,0.122900,16.112448,0.011742,17.434426,0.999063
data/input/matrix_n4000.txt,4000,-1,3,3,32,-1.0000,4.216765,0.001169,0.399079,135.143302,0.013075,140.129505,1.000685
data/input/matrix_n4000.txt,4000,-1,3,3,32,-1.0000,4.255968,0.001217,0.559257,149.057322,0.011531,154.139100,1.000685
data/input/matrix_n5000.txt,5000,-1,3,3,32,-1.0000,6.589431,0.001905,0.657049,308.795304,0.012654,316.666272,1.000669
data/input/matrix_n500.txt,500,-1,3,3,32,-1.0000,0.068836,0.000263,0.007664,0.294225,0.014325,0.409499,1.005940
data/input/matrix_n5000.txt,5000,-1,3,3,32,-1.0000,6.592982,0.001724,0.724094,271.070406,0.012857,279.227045,1.000669
data/input/matrix_n500.txt,500,-1,3,3,32,-1.0000,0.069219,0.000251,0.009445,0.293406,0.011862,0.394696,1.005940
data/input/matrix_n700.txt,700,-1,3,3,32,-1.0000,0.132304,0.000365,0.016423,0.770208,0.012042,0.950348,0.997764
data/input/matrix_n5000.txt,5000,-1,3,3,32,-1.0000,6.571707,0.001811,0.665128,297.041523,0.011767,304.864556,1.000669
data/input/matrix_n500.txt,500,-1,3,3,32,-1.0000,0.071116,0.000342,0.007593,0.296164,0.012205,0.403024,1.005940
