dataset,n,clusters,procs,t_load,t_degree,t_laplacian,t_eigen,t_kmeans,total
data/ans_batch/test2_ddg.txt,2,3,1,0.000251,0.000019,0.000000,0.000133,0.000025,0.000430
data/ans_batch/test2_ddg.txt,2,3,1,0.000232,0.000015,0.000001,0.000144,0.000027,0.000420
data/ans_batch/test2_ddg.txt,2,3,1,0.000307,0.000012,0.000000,0.000113,0.000017,0.000449
data/ans_batch/test2_ddg.txt,2,3,1,0.000201,0.000012,0.000000,0.000098,0.000017,0.000329
data/ans_batch/test2_ddg.txt,2,3,1,0.000233,0.000016,0.000001,0.000125,0.000032,0.000407
data/ans_batch/test2_ddg.txt,2,3,1,0.000192,0.000012,0.000000,0.000101,0.000017,0.000323
data/ans_batch/test2_ddg.txt,2,3,1,0.000249,0.000010,0.000000,0.000067,0.000016,0.000343
data/ans_batch/test2_ddg.txt,2,3,1,0.000263,0.000014,0.000001,0.000108,0.000030,0.000417
data/ans_batch/test2_ddg.txt,2,3,1,0.000316,0.000040,0.000000,0.001711,0.000023,0.002091
data/ans_batch/test2_ddg.txt,2,3,1,0.000269,0.000021,0.000000,0.000203,0.000019,0.000514
data/ans_batch/test2_ddg.txt,2,3,1,0.000320,0.000016,0.000000,0.000082,0.000019,0.000437
data/ans_batch/test2_ddg.txt,2,3,1,0.000287,0.000020,0.000000,0.000180,0.000019,0.000506
data/ans_batch/test2_ddg.txt,2,3,1,0.000376,0.000021,0.000000,0.000194,0.000019,0.000610
data/ans_batch/test2_ddg.txt,2,3,1,0.000306,0.000038,0.000000,0.000191,0.000019,0.000555
data/ans_batch/test2_ddg.txt,2,3,1,0.000223,0.000021,0.000000,0.000179,0.000018,0.000442
data/ans_batch/test2_ddg.txt,2,3,1,0.000281,0.000019,0.000000,0.000187,0.000019,0.000507
data/ans_batch/test2_ddg.txt,43,3,4,0.000831,0.000060,0.000059,0.000264,0.000213,0.001463
